4,0,4,100
37,5,7,1000
607,85,11,10000
4487,656,14,100000
36500,5470,17,1000000
515639,57346,21,10000000
4147226,537770,24,100000000
176,1,4,100
503,8,7,1000
609,48,11,10000
4688,584,14,100000
33916,5420,17,1000000
484985,53091,21,10000000
3934506,530647,24,100000000
10,4,4,100
42,5,7,1000
653,49,11,10000
4243,488,14,100000
36175,5363,17,1000000
490945,54600,21,10000000
4008383,539452,24,100000000
8,1,4,100
40,5,7,1000
734,54,11,10000
5946,511,14,100000
34353,5242,17,1000000
490715,54396,21,10000000
4095721,547628,24,100000000
14,1,4,100
203,5,7,1000
597,54,11,10000
4225,599,14,100000
36028,5537,17,1000000
482794,52395,21,10000000
4166699,556864,24,100000000
9,2,4,100
467,10,7,1000
508,50,11,10000
4247,492,14,100000
35747,5275,17,1000000
496032,52934,21,10000000
4169497,546046,24,100000000
9,1,4,100
33,4,7,1000
532,48,11,10000
3832,463,14,100000
33944,5657,17,1000000
480256,53871,21,10000000
4057521,540035,24,100000000
11,2,4,100
48,6,7,1000
673,49,11,10000
3929,593,14,100000
33890,5081,17,1000000
480280,53018,21,10000000
4162497,543702,24,100000000
11,2,4,100
74,5,7,1000
807,54,11,10000
4407,594,14,100000
34128,5269,17,1000000
487803,53199,21,10000000
4028646,541880,24,100000000
8,1,4,100
288,22,7,1000
741,48,11,10000
3948,499,14,100000
35186,5481,17,1000000
504868,53849,21,10000000
4102560,540553,24,100000000
9,1,4,100
80,7,7,1000
949,56,11,10000
5321,526,14,100000
36501,5780,17,1000000
578572,56159,21,10000000
4640456,589838,24,100000000
10,2,4,100
205,5,7,1000
769,50,11,10000
4081,611,14,100000
33935,5434,17,1000000
492683,54631,21,10000000
3938673,582270,24,100000000
7,1,4,100
32,5,7,1000
485,57,11,10000
3675,502,14,100000
32101,5169,17,1000000
460745,51312,21,10000000
3901272,519373,24,100000000
14,1,4,100
455,6,7,1000
526,67,11,10000
3998,518,14,100000
34465,5351,17,1000000
473768,54301,21,10000000
4246171,540890,24,100000000
10,1,4,100
38,5,7,1000
722,48,11,10000
4015,485,14,100000
31610,5052,17,1000000
461186,51766,21,10000000
4153922,545438,24,100000000
9,1,4,100
37,5,7,1000
686,49,11,10000
3919,488,14,100000
32430,5212,17,1000000
541926,51531,21,10000000
3782996,517546,24,100000000
10,1,4,100
